name,scrape_type,url,scraper_class
CSOOnline,requests,https://www.csoonline.com/,CSOOnlineScraper
HackerNews,requests,https://thehackernews.com/,HackerNewsScraper
Incibe,requests,https://www.incibe.es/en/incibe-cert/blog,IncibeScraper
SecurityWeek,cloudscraper,https://www.securityweek.com/category/,SecurityWeekScraper
Dragos,selenium,https://www.dragos.com/blog/,DragosScraper
TrendMicro,selenium,https://www.trendmicro.com/en_us/research.html,TrendMicroScraper
CISA,requests,https://www.cisa.gov/news-events/cybersecurity-advisories,CISAScraper
TheRecord,selenium,https://therecord.media/news/cybercrime,TheRecordScraper
BleepingComputer,requests,https://www.bleepingcomputer.com/,BleepingComputerScraper
InfoSecurityMagazine,requests,https://www.infosecurity-magazine.com/news,InfoSecurityMagazineScraper
SecurityAffairs,requests,https://securityaffairs.com/category/breaking-news,SecurityAffairsScraper
TripWire,requests,https://www.tripwire.com/state-of-security/,TripWireScraper
RockwellAutomation,selenium,https://www.rockwellautomation.com/en-us/company/news/,RockwellAutomationScraper
Nozomi,requests,https://www.nozominetworks.com/blog/,NozomiScraper
CyberSecurityDive,requests,https://www.cybersecuritydive.com/,CyberSecurityDiveScraper
Bitdefender,selenium,https://www.bitdefender.com/en-us/blog/,BitdefenderScraper
SCADAfence,requests,https://blog.scadafence.com/,SCADAfenceScraper
ESecurityPlanet,requests,https://www.esecurityplanet.com/,ESecurityPlanetScraper
SANS,requests,https://www.sans.org/blog/,SANSScraper
DarkReading,requests,https://www.darkreading.com/latest-news,DarkReadingScraper
Tenable,requests,https://www.tenable.com/blog,TenableScraper
Presale1,selenium,https://www.presale1.com/,Presale1Scraper
Sectrio,requests,https://sectrio.com/blog/,SectrioScraper
Intel471,requests,https://www.intel471.com/blog,Intel471Scraper
IndustrialCyber,selenium,https://industrialcyber.co/category/,IndustrialCyberScraper
